Date,Open,High,Low,Close,Adj Close,Volume
9/1/2020,35.25,37.240002,34.950001,36.009998,36.009998,29722200
9/2/2020,36.099998,37.099998,35.209999,36.889999,36.889999,26622800
9/3/2020,37.130001,39.77,36.139999,37.400002,37.400002,53966400
9/4/2020,38.150002,38.740002,36.459999,38.209999,38.209999,33121600
9/8/2020,37.299999,38.48,36.48,37.279999,37.279999,33207100
9/9/2020,36.900002,37.080002,35.59,36.029999,36.029999,25407600
9/10/2020,36.349998,37.330002,36.18,36.450001,36.450001,24905300
9/11/2020,36.630001,36.799999,35.48,36.07,36.07,19198700
9/14/2020,36.299999,36.880001,35.84,36.740002,36.740002,18939900
9/15/2020,36.84,37.880001,36.380001,36.799999,36.799999,21378200
9/16/2020,36.900002,38.900002,36.360001,38.299999,38.299999,33232400
9/17/2020,37.689999,39.279999,37.139999,38.349998,38.349998,31339700
9/18/2020,38.16,38.34,36.68,36.970001,36.970001,32772800
9/21/2020,35.400002,35.470001,33.18,33.790001,33.790001,29900900
9/22/2020,34.150002,34.650002,33.560001,34.07,34.07,16700600
9/23/2020,34.279999,35.049999,33.049999,33.080002,33.080002,21576900
9/24/2020,32.779999,33.400002,31.219999,32.740002,32.740002,24638800
9/25/2020,32.560001,34.27,32.490002,34.200001,34.200001,21461100
9/28/2020,35.32,36.900002,34.66,35.939999,35.939999,34828100
9/29/2020,35.549999,35.610001,34.240002,34.509998,34.509998,24979800
9/30/2020,34.950001,36.220001,34.540001,34.75,34.75,29441400
10/1/2020,35.23,35.490002,34.57,35.18,35.18,18972200
10/2/2020,33.360001,36.77,33.27,36.009998,36.009998,35081000
10/5/2020,36.43,36.580002,35.419998,36.200001,36.200001,18046400
10/6/2020,36.73,37.09,34.84,34.880001,34.880001,28719000
10/7/2020,36.509998,37.220001,35.880001,36.380001,36.380001,27677300
10/8/2020,37.16,37.689999,35.849998,37,37,28333500
10/9/2020,37.049999,37.799999,36.27,37.119999,37.119999,25311800
10/12/2020,36.700001,36.990002,36.259998,36.380001,36.380001,20202600
10/13/2020,35.669998,35.950001,35.220001,35.259998,35.259998,17303000
10/14/2020,35.259998,36.330002,35.169998,35.610001,35.610001,14976500
10/15/2020,35.18,35.380001,33.639999,34.25,34.25,23652000
10/16/2020,34.310001,34.580002,33.82,34.16,34.16,16210000
10/19/2020,34.450001,36.549999,34.439999,35.5,35.5,33094400
10/20/2020,36.16,36.59,35.200001,36.060001,36.060001,22578100
10/21/2020,35.91,36.139999,35.209999,35.540001,35.540001,16092700
